session	challenge	difficulty	qubits	method	method_family	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
tree_tensor_sim_session	24_3	very easy	24	quimb_cpu_all	quimb	collector_evidence:24_3:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-24_3.quimb_tree_graph_mps.json	quantum-junction	801d2ef			52			12.476727702189237	collector priority 80
tree_tensor_sim_session	28_4	very easy	28	aer_tree_mps_all	mps	challenge-28_4.tree_tensor_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-28_4.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192		20260605			-
tree_tensor_sim_session	28_4	very easy	28	collector_snapshot	collector	collector_selected:28_4	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
tree_tensor_sim_session	28_4	very easy	28	exact_statevector	exact	collector_evidence:28_4:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
tree_tensor_sim_session	28_4	very easy	28	exact_statevector	exact	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					28.83153981799842	exact statevector top list
tree_tensor_sim_session	28_4	very easy	28	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					28.83153981799842	exact statevector top list
tree_tensor_sim_session	28_4	very easy	28	quimb_cpu_all	quimb	challenge-28_4.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-28_4.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	1208.7308507100097	graph_ordered_mps_fallback
tree_tensor_sim_session	28_4	very easy	28	quimb_cpu_all	quimb	collector_evidence:28_4:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-28_4.quimb_tree_graph_mps.json	quantum-junction	801d2ef			512			1208.7308507100097	collector priority 80
tree_tensor_sim_session	28_4	very easy	28	quimb_fast_cpu	quimb	challenge-28_4.quimb_tree_graph_mps	started	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/fast_cpu/json/challenge-28_4.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7		512	128	20260606	weighted_spectral		graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	aer_tree_mps_all	mps	challenge-32_5.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-32_5.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	13.907975940965116	graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	aer_tree_mps_all	mps	challenge-32_5.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-32_5.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	133.13712717499584	graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	aer_tree_mps_all	mps	challenge-32_5.tree_tensor_mps:trial3:spectral:bd64:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-32_5.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260607	spectral	13.503108584089205	graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	aer_tree_mps_all	mps	challenge-32_5.tree_tensor_mps:trial4:spectral:bd128:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-32_5.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260608	spectral	136.29110623919405	graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	aer_tree_mps_all	mps	challenge-32_5.tree_tensor_mps:trial5:mincut:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-32_5.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260609	mincut	14.326801797142252	graph_ordered_mps_fallback
tree_tensor_sim_session	32_5	very easy	32	collector_snapshot	collector	collector_selected:32_5	unknown	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from quimb_cpu_all
